event_key,active,name,event_start,event_end,event_type,event_subtype,description,host_org,url,media_url,map,seats,goers,invite_only,venue,address,company,audience,subject,geo_area,tags,fsq_venue_id,custom1,custom2,custom4,custom5,id,venue_id,speakers,moderators,artists,sponsors,exhibitors,staff
"253","Y","MAG-Net Network Gathering","2017-06-15 10:00:00","2017-06-15 17:00:00","","","The Media Action Grassroots Network (MAG-Net) Membership Assembly will convene MAG-Net member organizations from across the country during the Allied Media Conference. During this network gathering we will develop new organizing skills, connect social justice issues with media justice strategies, and strengthen cross-sector relationships between network members. This network gathering is for MAG-Net member organizations only.<br /> <br /> Coordinators of this network gathering are Angella Bellota, Eleonore Wesserle, and Oshen Turman.","","","","","0","9","N","Student Center: Hilberry B","","","","","","","","","","","","3d38660daa432c8ccd90b8a5d97b81e1","611326","","","","","",""
"270","Y","AMC Kids Party","2017-06-16 19:30:00","2017-06-16 21:30:00","AMC @ Night","","Hosted by Detroit's Cumbia Poder, this dazzling event for kids and caregivers of all ages will feature Cumbia DJs, face-painting, bubble making, exciting lights and coloring stations, live silkscreening and more. Join the AMC community as we celebrate kids with the hottest party of the summer. This community event is free and open to the public followed by a screening of the animated classic “Ferngully” hosted by the New Center Park summer series.","","","","","0","1","N","TBA","","","","Everyone","","","","","","","","3f8edfc694c12dadfe015d331741bb47","610055","","","","","",""
"261","Y","Welcome Plenary: Past, Present, Futurism","2017-06-15 18:00:00","2017-06-15 21:00:00","Plenary","","For many places, including Detroit, the year 1967 has become a symbol of uprising and violence, of possibilities for transformation, but rarely of healing. In Detroit, the absence of healing, truth and reconciliation around the events of 1967 is a defining feature of our cultural and political landscape, constricting what we can become. Drawing on the wisdom of Detroit movement elder Shea Howell, sonic healer Sterling Toles, and time-traveler poet Dr. Alexis Pauline Gumbs, this plenary will chart visions of a future that are grounded in the complexity of the present and the past. <br /> <br /> Live performance by Bandelero and light refreshments will be offered. Directly following, be sure head over to the One Mile x AMC2017 after party hosted by the Detroit Culture Council. Shuttles will be offered from WSU campus and hotels to the plenary and after party.","","","","","0","95","N","The Jam Handy","","","","Everyone","","","","","","","","404eaa35a338c0c4445aa74be5315b21","613493","Shea Howell, Sterling Toles, Dr. Alexis Pauline Gumbs","Tawana Petty","","","",""
"202","Y","The Dreamspace Project: Anti-Racist Pedagogy for Museum Education","2017-06-17 11:00:00","2017-06-17 12:30:00","Tour/Field Trip","","We will explore the ways in which the art museum perpetuates neocolonialism and white supremacy, and how that affects the visitor's experience, creating both visible and invisible barriers to learning and engagement. Using exercises from The Dreamspace Workbook, we will guide participants on a tour through the galleries of the Detroit Institute of Arts. Along with access to a digital copy of the workbook, participants will leave with tools to address issues of racism prevalent in museums.","","","","","0","17","N","Shuttle Stop: Anthony Wayne & Kirby","","Radical Libraries / Archives / and Museums","","Everyone","","","","","","","","4051e7c7a2184a2c11cac23db2ca5fd1","611329","Amireh Rezaei-Kamalabad, Alyssa Machida","","","","",""
"240","Y","Community Care Lunch Meet-Up","2017-06-16 12:45:00","2017-06-16 13:45:00","Mealtime Meetup","","Join us for a community style care meet-up. We will offer ear (NADA) acupuncture, Reiki and bodywork. The meet-up will be first come, first served &ndash; no sign-up necessary. The space is welcoming of all bodies, identities, abilities, and backgrounds.","","","","","0","10","N","Student Center: Dance Room 020","","General","","Everyone","","","","","","","","40ccae8b0f18f01b2481de2a89db3790","611342","Chiara Galimberti, Sylvia Barrios, Michelle VanNatta","","","","",""
"122","Y","Go Big: Launching A Massive Student Movement","2017-06-18 11:45:00","2017-06-18 12:45:00","Strategy Session","","How do we create student movements that shift power at the state level? The Ohio Student Association will draw from five years of creating a statewide movement using integrated methods of mass protest and building collective identity through electoral resistance. We will share best practices of merging digital and relational organizing, and help participants plan political movements in their home states. Participants will leave with skills for launching massive student movements.","","","","","0","5","N","State Hall: Room 127","","General","","Everyone","","","","","","","","43735374475559326baa56c6c5ec05c8","611333","Kevin O'Donnell, Morgan McNabb","","","","",""
"104","Y","Community Led Business Models","2017-06-16 14:00:00","2017-06-16 15:30:00","Hands-on Session","","How do we deconstruct economic cultures and shift towards sustainable models built on love, social justice and community support? In this skillshare we will examine the history of these models in South Texas, explore our shared working experiences and the challenges and solutions we have encountered. Participants will have interactive opportunities to try out social media marketing, pop-up market organizing and reflect on economic models in their home communities.","","","","","0","19","N","State Hall: Room 125","","Wage Love","","Everyone","","","","","","","","43c46f2c182c177f6bc9f78fd584fba5","611335","Beto De León, Diana Lopez, Cristina Martinez","","","","",""
"33","Y","Kreung Cooking ","2017-06-17 11:00:00","2017-06-17 12:30:00","Hands-on Session","","Kreung experiments with traditional cooking as a way to conduct dialogue and revitalize culture in her family and the broader Cambodian diaspora. In this workshop, participants will experience cooking with the chef and her family. Participants will learn about the Cambodian historical context; the challenges and rewards involved in balancing tradition and innovation; and the opportunities that food provides as a means for building bridges, opening minds and telling your story. The food that will be prepared will be enjoyed at the Kreung community dinner in the evening.","","","","","0","6","N","Shuttle Stop: Anthony Wayne & Kirby","","Food Matters","","Everyone","","","","","","","","44c055b22c04d297882e23134fc18076","611329","Chakriya Un, Char's mom, Char's aunt","","","","",""
"80","Y","The Art of Detroit's Resistance","2017-06-16 11:00:00","2017-06-16 12:30:00","Panel-Presentation","","The Detroit &lsquo;revitalization&rsquo; narrative dominates headlines while our communities continue to resist water shut-offs, foreclosures, environmental racism and school closings. A panel of artist-organizers will share their contributions to justice movements in Detroit in the efforts to cultivate actual vitality that is sustainable and rooted in humanity. By exchanging strategies of creative resistance we will grow our imaginations as we continue to resist and reimagine our future!","","","","","0","16","N","McGregor: Room F/G/H","","Art as Resistance","","Everyone","","","","","","","","471ad929687e19572792ae587be4a0f0","611319","Kate Levy, Stephanie Mae, Antonio Cosme, Wayne Curtis, Shanna Merola, Bryce Detroit","","","","",""
"20","Y","Healers Rise Up","2017-06-16 12:45:00","2017-06-16 13:45:00","Mealtime Meetup","","Let's awaken, nurture, and support the healer, artist, and freedom fighter in each of us. With our ancestors’ guidance and collective wisdom, we will connect with our healing justice magic by strengthening, mirroring, and learning from each other's practices in community. We hope to reclaim and build a necessary healing culture in our movements.","","","","","0","15","N","State Hall: Room 111","","Food Matters","","Everyone","","","","","","","","47e4de3c2f7f53933576df648ef40880","611322","Landis Pulido Mariella Saba","","","","",""
"117","Y","Training a New Generation of Language Justice Workers","2017-06-17 14:00:00","2017-06-17 15:30:00","Hands-on Session","","How do we strengthen our language justice work to ensure our movements are multilingual? How do we train new people, especially 1st and 2nd generation immigrants, as social justice interpreters? This workshop for multilingual organizers includes activities from the Center for Participatory Change's Language Justice Curriculum, which has a healing and racial justice lens and includes sessions on queering and ungendering language. Participants will gain hands-on experience with this multimedia popular education tool, which they can take back home to use in their communities.","","","","","0","7","N","State Hall: Room 131","","General","","Intermediate","","","","","","","","48a1e070a7b78782e1de047f9d64facd","611327","Ada Volkmer, Monse Ramirez","","","","",""
"193","Y","Interactive Streets: Biking and Placemaking","2017-06-16 14:00:00","2017-06-16 15:30:00","Hands-on Session","","What kind of social, cultural, and/or political impact do you want to make through biking? Partnering with Detroit East Side Riders, we explore how bikes can be tools that facilitate interaction. We will explore an aspect of the encounter between cyclists and the city through a demo on bike safety, and discuss the concept of bicycle justice. We will question the scale and type of interactions that biking can facilitate and loosely prototype ideas in small groups. Participants will walk away with a grounded understanding of bike safety and new ideas on how to activate bikes as media.","","","","","0","4","N","Student Center: Hilberry C","","General","","Everyone","","","","","","","","48be87cd2626805adce8896d34cd39f4","611336","Reina Imagawa, John Jones III","","","","",""
"259","Y","Detroit/Puerto Rico Solidarity Exchange","2017-06-15 10:00:00","2017-06-15 17:00:00","","","What do communities in Detroit and Puerto Rico have in common, what can we learn from each other and how do we work together? At this Network Gathering, we will draw connections between the fight against the appointments of Emergency Managers and PROMESA Oversight Board and the creative interventions rooted in self-determination by grassroots communities in Michigan, Puerto Rico and in the Diaspora. Additionally, we will learn the ways in which the neoliberal attacks on Puerto Ricans and Detroiters have impacted our communities and the narratives (racialized, austerity, dependency, etc.) that are used to justify these attacks. We will also focus on building new narratives that tell a different story of the continued resistance, experimentation and grassroots projects that we believe present a real alternative to &ldquo;rescue plans&rdquo; pushed forward by politicians and Wall Street interests. Participants will walk away with a deeper understanding of the on-the-ground organizing projects in Detroit, Puerto Rico, and in the PR Diaspora and new relationships between Detroit and Puerto Rican organizers. We hope you will join us to share, learn more about, and support our communities&rsquo; vibrant organizing projects. We will have opportunities to continue building relationships at the Allied Media Conference and beyond.<br /> <br /> Coordinators of this network gathering are Teresa Basilio, Sof&iacute;a Gallis&aacute;, Adela Nieves, and Ariadna Godreau.","","","","","0","12","N","McGregor: Room F/G/H","","","","","","","","","","","","4a85a7eb8ee106f624468bc803f8d70c","611319","","","","","",""
"264","Y","Data and Power","2017-06-17 09:00:00","2017-06-17 10:30:00","Plenary","","State surveillance, biometrics, racist algorithms, and more &ndash; it is easy to become fearful and overwhelmed when it comes to data. And yet, our communities are resilient and full of genius. Beyond the many hands-on tools of circumvention and protection we share at the AMC, we need creativity and inspiration when it comes to data too. This plenary will highlight the work of three artists who transform the fear of data and surveillance into power and healing: instagram poetry that makes security culture accessible and compelling; a father&rsquo;s FBI file reclaimed and transformed into art; an open source software for surveilling the surveyors and fostering cross-movement collaborations.","","","","","0","51","N","DeRoy Auditorium","","","","Everyone","","","","","","","","4e839cdb6da064039f04162010da6dad","613494","Sadie Barnette, Burak Arikan, Micha Cárdenas, Frances Lee","Sasha Costanza-Chock","","","",""
"183","Y","Starting an Ancestor Practice","2017-06-16 11:00:00","2017-06-16 12:30:00","Panel-Presentation","","We are the sum total of all the hopes and dreams of our ancestors – when we viscerally feel this connection we can live and tell our own stories. In this workshop we will learn how to create an ancestral shrine, cultivate intimacy with our ancestors whether we know them or not, deal with problematic ancestors, and engage the power of our ancestors to help us manifest our vision and remind us of who we are.","","","","","0","12","N","State Hall: Room 111","","Wage Love","","Beginner","","","","","","","","4ef81a0fbb5e2b52259534fffead352d","611322","Langston Kahn","","","","",""
"209","Y","Comida Con Cuidado (Food With Care)","2017-06-17 16:00:00","2017-06-17 17:30:00","Hands-on Session","","How do we honor our food &ndash; whether it&rsquo;s cooking it, growing it, or using it as a tool to draw connections to our culture? This section will look at food through the lens of being queer. We will ask questions about food and our individual relationship to it while creating stories or artwork. Participants will have the opportunity to submit their story or artwork to the zine Comida con Cuidado.","","","","","0","8","N","State Hall: Room 137","","Food Matters","","Intermediate","","","","","","","","4f2fb798675c29e65321e16e1b820518","611339","Lucecita Cruz","","","","",""
"79","Y","Youth Leading Change: Hip Hop Artivism","2017-06-17 11:00:00","2017-06-17 12:30:00","Film Screening-Performance","","In this workshop we will share unique, youth created documentaries that explore the five elements of Hip Hop: MC, DJ, Graffiti, Bboy and Knowledge. We will draw connections between social issues and Hip Hop, its use in community revitalization, and how youth can be the leaders of that change. Participants will leave with a firm understanding of Hip Hop as a righteous art form, a culture, and a tool.","","","","","0","5","N","State Hall: Room 135","","Youth Activism in Hip Hop","","Everyone","","","","","","","","518c333e6bc4330f935c2fc831daabf0","611310","Ahmed Turner, Alexandria Williams, Taliya Allen","","","","",""
"128","Y","Food Chains: Farmworker Rights in the 21st Century","2017-06-17 16:00:00","2017-06-17 17:30:00","Film Screening-Performance","","There's so much interest in food, but very little interest in the hands that pick that food. Come see the James Beard-award winning film Food Chains, which chronicles the battle of a small group of tomato pickers in Florida, the CIW, as they fight the multibillion-dollar companies that control the supply chain. Learn how the CIW's model can apply to numerous sectors of the food system. Participants will leave inspired and armed with new tools to approach local, regional and national labor issues.","","","","","0","9","N","McGregor: Room F/G/H","","Food Matters","","Everyone","","","","","","","","52778ad4c1297c98a47ad5c26b05563f","611319","Sanjay Rawal, Marley Moynahan","","","","",""
"165","Y","Clifford Cartel's Rap Stories","2017-06-17 16:00:00","2017-06-17 17:30:00","Hands-on Session","","Rapping is a special form of storytelling that activates our imaginations. Through rap, listeners are immersed in a story and can see every word, feel every emotion, and visualize the world evoked by the words. Let's learn how to tell stories through the art form of a lifetime by engaging in rap games, cyphers, and lyrical analysis.","","","","","0","0","N","McGregor: Room L/M","","Youth Activism in Hip Hop","","Kids only","","","","","","","","52c9c467b22756fb67ffc8e3d7de61da","611338","Clifford Bussie, Kerim The DJ","","","","",""
"13","Y","Crowdfunding for Social Justice","2017-06-17 11:00:00","2017-06-17 12:30:00","Panel-Presentation","","Join the national crowdfunding nonprofit ioby (in our back yards) to explore how crowdfunding can be used not only to raise cash, but also to promote community buy-in, build awareness of your work, and grow a strong local base of support over time. Through real-life case studies of successfully-funded projects, this session will give attendees a firm understanding of when and how to use crowdfunding effectively to support their work.","","","","","0","12","N","State Hall: Room 115","","Resourcing and Sustaining Our Movements","","Everyone","","","","","","","","532a427cf5d7f9fd6f4af4729b2d59e1","611313","Rhiannon Chester, Joe Rashid","","","","",""
"191","Y","DIY Futures Through Architectural Zines","2017-06-17 11:00:00","2017-06-17 12:30:00","Hands-on Session","","Why must the visualization of the future be constructed by a select few? This session will explore how spatial visualization can be developed as a collaborative process. We will learn how to utilize visualization tools which communicate individual and community needs and desires to a larger audience. Participants will walk away with an ability to visualize space over time through diorama, photography, and narrative construction. We will produce a short zine to demonstrate the process.","","","","","0","8","N","State Hall: Room 137","","Design Justice","","Everyone","","","","","","","","537620128d410e1069fc3d814299b7fc","611339","Aaron Jones RA, Chinaka Njoku","","","","",""
"124","Y","Holding Space Part 2: Facilitating Collective Self-Governance","2017-06-16 16:00:00","2017-06-16 17:30:00","Hands-on Session","","How can facilitators skillfully support practices of collective governance? Building on Part I, we will equip participants with the skills for facilitating consensus decision-making as a tool for self-governance. Using role plays and real examples to harness the group’s wisdom, we’ll consider options for interrupting hidden hierarchies, transforming conflicts, and creating shared power. Folks will leave with a toolkit to support healthy and just group dynamics, and long-term investment in organizing.","","","","","0","40","N","Student Center: Hilberry B","","General","","Everyone","","","","","","","","548860bb95c9c1818ca79fd4a6942156","611326","Autumn Brown, Maryse Mitchell-Brody","","","","",""
"174","Y","Pocket Histories: Zine-making to Share Community Stories","2017-06-17 14:00:00","2017-06-17 15:30:00","Hands-on Session","","What (hi)stories are erased by mainstream historical narratives, and how does this impact the ways we understand our identity? We will explore DIY publishing to allow families and communities to resist erasure. Participants will create &lsquo;pocket zines&rsquo; sharing family, community, and cultural stories and will be able to upload their zine onto &ldquo;Pocket Histories,&rdquo; a digital archival space.","","","","","0","11","N","McGregor: Room B/C","","General","","Everyone","","","","","","","","55508d15045da8d8f9565b3f7a6be692","611343","Jody Chan, Lorraine Chuen, Marsha Louise McLeod, Althea Balmes, Mikayla Petchell","","","","",""
"98","Y","Don't Stop! Get it, Get it: A Pan African History of Twerk","2017-06-17 14:00:00","2017-06-17 15:30:00","Panel-Presentation","","Twerking is a Black dance tradition originating in West Africa with a rich history in the black belt region of the south. This tradition has been co-opted by white culture in ways that obscure its richness, technical virtuosity, and uses for healing. We will honor this rich cultural tradition and explore West African origins of twerk, various schools of black belt region twerking, and examples of twerk music throughout history while reflecting on its evolution within black cultures.","","","","","0","8","N","Student Center: Dance Room 020","","Wage Love","","Everyone","","","","","","","","558739ea429b58163fa784c0fd263fa1","611342","Alexsarah &quot;Golden&quot; Collier","","","","",""
"148","Y","Developing Resilient Data Infrastructures","2017-06-18 13:00:00","2017-06-18 14:30:00","Strategy Session","","How do you maintain access to important public data amidst political instability and risk? While Trump's election motivated rapid data preservation efforts, we are faced with longstanding data infrastructure vulnerability. Starting with DataRescue's paths –technical preservation, community organizing, and storytelling – we will collaboratively strategize how to strengthen networks addressing this problem and envision a more resilient infrastructure for data vital to community-based activism.","","","","","0","13","N","State Hall: Room 114","","Electric Dreams Digital Futures","","Everyone","","","","","","","","55a8ebaeac92eb1eb546ee6ad3cf9219","611340","Justin Schell, Dawn Walker","","","","",""
"74","Y","Game Curious: Videogame Literacy For Underserved Communities","2017-06-18 10:00:00","2017-06-18 11:30:00","Hands-on Session","","We will explore how games can be an expression of creativity, using Game Curious as a template for localized accessibility. We will play games previously made in the program, then use paper prototyping and free resources to learn how to make games that disseminate political knowledge and lived experiences. Participants will leave with a nuanced view of what games can do, how to make their own games and instruct others too.","","","","","0","7","N","State Hall: Room 114","","","","Everyone","","","","","","","","577ead2cbf47f1b135e01ab5b3520344","611340","Al Donato, Sagan Yee","","","","",""
"16","Y","Grassroots Infographics: Designing Data Equity","2017-06-17 11:00:00","2017-06-17 12:30:00","Strategy Session","","Learn how to tell visual data stories to inspire policy change and mobilize information at the grassroots level. We will explore the power dynamics of design, data framing, asset vs deficit mapping, access to information, and grassroots design strategies. We will map out infographic solutions for reaching and activating policy makers, vulnerable populations, and more. Participants will leave with an actionable list of design strategies to employ within their organizations and communities.","","","","","0","31","N","State Hall: Room 123","","Design Justice","","Intermediate","","","","","","","","5849baa4d4e93076eb7f2238261429dc","611316","Jessica Bellamy","","","","",""
"287","Y","Kreung Cooking: Cambodian Pickles","2017-06-16 12:00:00","2017-06-16 13:45:00","Tour/Field Trip","","The Khmer Rouge genocide not only erased millions of lives, it aimed to eradicate culture, leaving a massive rift between young and old Cambodians. This workshop will engage participants in cooking traditional foods within an intergenerational dialogue about trauma and healing. Chef Chinchakriya, her mother, and aunt will teach Cambodian pickle making and share the cultural significance and history of the foods being prepared. Participants will be assisting in the preparation of the Kreung AMC dinner and will take home their own pickles!","","","","","0","6","N","Shuttle Stop: Anthony Wayne & Kirby","","Food Matters","","","","","","","","","","5872136932590803d5ba422030285dd6","611329","Char's mom, Char's aunt, Chinchakriya Un","","","","",""
"232","Y","Reel Stories: Bridging Communities Through Filmmaking","2017-06-18 13:00:00","2017-06-18 14:30:00","Film Screening-Performance","","Our session will feature films and a panel discussion with students from Reel Stories, a joint program between the Arab American National Museum and Palestinian Heritage Museum. Instructors will speak on their roles in creating a safe space that fosters creativity, and program coordinators will share more about program building. The session will be followed by a Q&A with the audience.","","","","","0","7","N","State Hall: Room 106","","General","","Everyone","","","","","","","","5aaca47c5dca4970d1cb662ed12a1a37","611325","Jenna Hamed, Imad Hassan, Malak Wazne, Lydia Kuzak, Nayla Contejean, Heba Samra","","","","",""
"231","Y","From Growing Our Economy to Growing Our Souls Tour","2017-06-16 14:00:00","2017-06-16 15:30:00","Tour/Field Trip","","In a time of revolution and counter-revolution, the Boggs Center's tour of the eastside of Detroit explores history in the context of the rise and fall of the economic 'American Dream' and the birth of visionary organizing and resistance. We will visit the Packard Plant, Poletown, urban gardens, The Boggs School, CanArts and The Heidelberg Project. Participants will leave with a deeper understanding of how to think historically and dialectically as we work towards the next american revolution.","","","","","0","8","N","Shuttle Stop: Anthony Wayne & Kirby","","General","","Everyone","","","","","","","","5b2dcc4ed35952b985fb1a8e4ac97092","611329","Rich Feldman","","","","",""
"277","Y","Black Independence Celebration","2017-06-18 18:00:00","2017-06-18 22:00:00","AMC @ Night","","What does freedom look like? What stories will and should be told about black history? Chicago space cultivators will commemorate Juneteenth through an evening of art, film, music, dance and storytelling. This program will engage storytellers, visual artists, filmmakers and musicians from Detroit, Chicago and more. Hosted by AMFM, Black Eutopia and Party Noire.","","","","","0","12","N","Baltimore Gallery","","","","Everyone","","","","","","","","5b7785c75ca5f698ef9af1932ba34468","613500","","","","","",""
"276","Y","Gender Blender","2017-06-17 20:00:00","2017-06-18 02:00:00","AMC @ Night","","Presented by FtM Detroit, Gender Blender brings transmasculine identified people in the metro Detroit area together. This is a space where everyone, regardless of their gender identity or sexual orientation, can feel safe, have fun, and build new connections. The Gender Blender is one of the biggest regular gatherings of trans and queer people and their allies in the metro Detroit area, and each one is bigger and better than the last. What is quickly becoming one of the hottest parties in Detroit, the Gender Blender is the perfect way to meet new people, listen to great music brought to you by DJ UnDcided, and win awesome prizes in our raffle! No cover.","","","","","0","24","N","Circa 1890 Saloon","","","","Everyone","","","","","","","","5c6256f2f9c7387ce75cf873f684b702","613505","","","","","",""
"48","Y","From Media to Medium: Creating Revolutionary Oracles","2017-06-17 14:00:00","2017-06-17 15:30:00","Hands-on Session","","An oracle is a tool that brings us clarity and allows us to move forward with love and confidence instead of being stuck in reactive feedback loops! This is a time for oracles, and they are all around us. In this workshop we will explore examples of community-generated and queer Black feminist oracles and create our own oracles together. Participants will leave with new oracles and the ability to build oracles individually and with their communities.","","","","","0","13","N","Student Center: Hilberry A","","Wage Love","","Everyone","","","","","","","","5c86a7b0bb1859cb0ab10db07f8f2700","611317","Alexis Pauline Gumbs, Seneca Micheal Gumbs Morin","","","","",""
"68","Y","2 Cute 2 Be Erased: DIY Video Diaries","2017-06-17 16:00:00","2017-06-17 17:30:00","Hands-on Session","","Why does history honor people like J. Marions Sims, the 'father of modern gynecology', but erase enslaved women such as Anarcha who he forcibly perfected his techniques on? We will share stories of how we, and/or our ancestors, have experienced harm at the hands of the medical industrial complex. We will learn how to document our stories of resistance and transform them into powerful video diaries that we can share with others.","","","","","0","4","N","State Hall: Room 135","","General","","Beginner","","","","","","","","5d1c56426fb4460d94cc63e9228bed41","611310","Pidgeon Pagonis","","","","",""
"9","Y","Lunch Love: Parents & Child Caregivers","2017-06-16 12:45:00","2017-06-16 13:45:00","Mealtime Meetup","","How do we raise children to be the architects of a new world while we're still in this one? This space is for parents and caregivers of children to share experiences and ideas about child rearing in topic-based, small group discussions. Participants will leave feeling validated, challenged and supported by a new network of friends. Vegan lunch with gluten-free options provided as well as lunchtime childcare. Weather permitting, we will meet on the lawn outside the North entrance to McGregor.","","","","","0","5","N","Student Center: Hilberry E","","Kids & Caregivers Transform the World!","","Everyone","","","","","","","","5d5cae343bb728a693b1fa90afd4e93d","611315","Robin Markle, Phuong Nguyen, Jayanni Webster","","","","",""
"155","Y","Dreaming from the Archive","2017-06-16 12:45:00","2017-06-16 13:45:00","Strategy Session","","Join us to envision a public access archive facilitated by Democracy Now! interns. The workshop will establish a conversation between the archive and media makers in order to create a project that reflects the needs of the community and provides concrete examples of how the archive can be used as an actionable tool. The workshop aims to provide answers to the following questions: What content? What format? What perspectives are underrepresented in archive-based media projects?","","","","","0","16","N","State Hall: Room 123","","Radical Libraries / Archives / and Museums","","Everyone","","","","","","","","5d8d1d9b6a498835b576fce5d99b7e42","611316","Brendan Allen, Cristina Fontánez Rodríguez, Sammy Didonato","","","","",""
"109","Y","Portable Network Kits","2017-06-17 11:00:00","2017-06-17 12:30:00","Hands-on Session","","How will your local community communicate when a disaster hits? Team members from the Resilient Communities Program will use bad theatre, hands-on activities, and pop-ed practices to share how to set up a portable local WiFi network in a pinch. Participants will leave with skills to configure and deploy a portable network kit.","","","","","0","15","N","McGregor: Room F/G/H","","Electric Dreams Digital Futures","","Everyone","","","","","","","","5ff05ea5f2025d85350d00c4a0102908","611319","Raul Enriquez, Katherine Ortiz","","","","",""
"281","Y","Breastfeeding/Changing Room","2017-06-15 09:30:00","2017-06-18 16:45:00","","","In addition to childcare, we are offering a quiet space where we invite parents who are breastfeeding, feeding or changing their small ones to have a room away from the activities of the conference.","","","","","0","1","N","Student Center: Room 279","","","","Everyone","","","","","","","","607d1e80dd25f6d1a9fada9e6aefb624","613509","","","","","",""
"149","Y","Who Are You?: A Visual Storytelling Exercise for Children","2017-06-16 16:00:00","2017-06-16 17:30:00","Practice Space session","","“The problem with my life was that it was someone else's idea' - B. A. Sáenz We will provide a creative space for children to express their own unique identities. Through use of short, targeted (and fun!) reflective exercises, children will define a facet of their identity that is important for the world to know. These declarations will be visually captured and displayed to affirm and promote the continued development of self-identity, for themselves and for others.","","","","","0","1","N","Student Center: Hllberry E","","Kids & Caregivers Transform the World!","","Kids only","","","","","","","","619fe26167c84711d0ca3f0f80e1d12b","611346","Jillian Colby Webb","","","","",""
"228","Y","The Human Right to Water","2017-06-16 14:00:00","2017-06-16 15:30:00","Strategy Session","","Are you working for access to safe, clean water in your city? Have you produced effective multimedia campaigns and would like to share your learnings? We are launching a website that tells the stories of communities on the front lines of this fight. In this session, we will strategize ways tell these stories and support local organizers and gain national support.","","","","","0","5","N","State Hall: Room 116","","","People's Pop-up Media Shop","Advanced","","","","","","","","62309fabe9131035faa95b48e96ffbbe","611311","Kate Levy, Alice Jennings, Lila Cabil","","","","",""
"130","Y","Resourcing Your Work Through Residencies","2017-06-17 14:00:00","2017-06-17 15:30:00","Hands-on Session","","How can we utilize artist-in-residence (AIR) programs to fund our work? In this session we will explore different programs, as well as those that pair residencies with fellowship funding. We will learn how to research opportunities and evaluate program 'fit' – matching short and long-term creative goals to the time, space and possible funding that an AIR can provide. Participants will leave with a research plan and proposal framework for submitting strong artist-in-residency applications.","","","","","0","11","N","State Hall: Room 129","","Resourcing and Sustaining Our Movements","","Everyone","","","","","","","","6479dcccc5410506ba05eab7a18b83b3","611337","Mi'Jan Celie Tho-Biaz","","","","",""
"123","Y","Supporting Loved Ones in Times of Crisis","2017-06-17 16:00:00","2017-06-17 17:30:00","Hands-on Session","","How do we give care to our people in times of emotional crisis? This workshop will help us support others to navigate altered states, depression, trauma, and more, while centering the needs and experiences of POC & LGBTQI+ people. Paying careful attention to the emotional impacts of oppression, we’ll pair resources and exercises from The Icarus Project with participants’ wisdom to explore healing strategies, emotional safety plans, and harm reduction tips for navigating the mental health mainstream.","","","","","0","23","N","State Hall: Room 131","","Healing Justice","","Everyone","","","","","","","","64e1bf52b635543ef8378489d284946a","611327","Maryse Mitchell-Brody, Mikaela Sanchez","","","","",""
"112","Y","Sarap: A Pilipinx Horror Drag Cooking Show","2017-06-18 13:00:00","2017-06-18 14:30:00","Film Screening-Performance","","Join us for a performance of 'A Pilipinx Horror Drag Cooking Show,' which re-imagines the origin story of the 'Filipino Vampire,&rsquo; the Manananggal. Have you ever tasted Filipino sausages? With just one bite of the right dish, you can taste the stories from back home &ndash; each ingredient and way of cooking providing its own lesson. These stories tell of our homeland, our bodies, our longing and... our Monsters. Boo! There will be lap dances to give, community to build and food to share. It's so scary, it's good. (radical kitchen space)","","","","","0","8","N","Student Center: Room 285","","General","","Everyone","","","","","","","","66210daf3d13427acf5f7585bb438fc4","611308","Patrick Salvani","","","","",""
"288","Y","The Dreamspace Project: Anti-Racist Pedagogy for Museum Education","2017-06-17 12:00:00","2017-06-17 13:45:00","Tour/Field Trip","","We will explore the ways in which the art museum perpetuates neocolonialism and white supremacy, and how that affects the visitor's experience, creating both visible and invisible barriers to learning and engagement. Using exercises from The Dreamspace Workbook, we will guide participants on a tour through the galleries of the Detroit Institute of Arts. Along with access to a digital copy of the workbook, participants will leave with tools to address issues of racism prevalent in museums.","","","","","0","12","N","Shuttle Stop: Anthony Wayne & Kirby","","Radical Libraries / Archives / and Museums","","Everyone","","","","","","","","67f0dedc362ee93a41c08f35e77d2dc4","611329","Amireh Rezaei-Kamalabad, Alyssa Machida","","","","",""
"181","Y","Fly Freedom Makers","2017-06-18 10:00:00","2017-06-18 11:30:00","Hands-on Session","","Hey sister friend, when was the last time you played or tinkered with something? Calling all Black Womyn to discover the power of maker tech with Just BE, a Black Womyn&rsquo;s creative entrepreneurship collective from Oakland, California. We will explore how tinkering can be a tool for liberation through hands-on activities with Makey Makey circuit boards. Participants will walk away having learned a new tech tool and theory of radical tinker time that they can use to deepen their activist practice.","","","","","0","2","N","McGregor: Room B/C","","General","","Everyone","","","","","","","","686c8d7b4c538d417ee332f2017230f1","611343","Hope Henson-Lehman, Kamilah Richardson","","","","",""
